"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/04/2026 16:58:20:249 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"111","4","18","175","135","55.17108804306036","0","0"
"67","4","12","200","1500","17.95463283352557","39","0"
"113","4","18","200","177","57.20876585928489","0","0"
"114","4","18","200","119","53.748558246828146","0","0"
"115","4","18","225","116","43.867743175701655","0","0"
"117","4","18","225","111","45.09803921568628","0","0"
"119","4","18","250","125","40.13840830449827","0","0"
"118","4","18","250","121","45.36716647443291","0","0"
"120","4","18","250","143","52.24913494809689","0","0"
"116","4","18","225","193","55.55555555555556","0","0"
"109","4","18","175","329","12.149173394848136","0","0"
"121","4","20","150","130","63.744713571703194","0","0"
"112","4","18","200","345","28.143021914648212","0","0"
"124","4","20","175","147","59.47712418300654","0","0"
"126","4","20","175","96","48.86582083813918","0","0"
"128","4","20","200","100","41.09957708573626","0","0"
"127","4","20","200","111","48.212226066897344","0","0"
"125","4","20","175","168","58.938869665513266","0","0"
"130","4","20","225","142","52.71049596309112","0","0"
"129","4","20","200","146","54.094579008073815","0","0"
"132","4","20","225","87","44.82891195693964","0","0"
"131","4","20","225","138","44.63667820069204","0","0"
"134","4","20","250","107","47.635524798154556","0","0"
"135","4","20","250","116","45.520953479430986","0","0"
"133","4","20","250","135","50.403690888119954","0","0"
"122","4","20","150","308","14.686658977316418","0","0"
"123","4","20","150","520","16.955017301038062","0","0"
"78","4","14","150","1500","25.60553633217993","31","0"
"140","6","4","175","1500","36.52441368704344","36","0"
"136","6","4","150","1500","53.47943098808151","37","0"
"145","6","4","225","1500","47.712418300653596","33","0"
"137","6","4","150","1500","56.70895809304114","24","0"
"143","6","4","200","1500","37.40868896578239","12","0"
"139","6","4","175","1500","59.05420991926182","5","0"
"138","6","4","150","1500","45.444059976931946","15","0"
"141","6","4","175","1500","71.97231833910034","4","0"
"142","6","4","200","1500","72.2798923490965","12","0"
"148","6","4","250","227","66.01307189542484","0","0"
"144","6","4","200","1500","63.55247981545559","2","0"
"146","6","4","225","1500","46.1361014994233","18","0"
"149","6","4","250","553","40.44598231449442","0","0"
"160","6","6","225","138","58.093041138023835","0","0"
"159","6","6","200","458","31.795463283352557","0","0"
"161","6","6","225","144","55.2479815455594","0","0"
"162","6","6","225","107","50.2883506343714","0","0"
"163","6","6","250","166","59.78469819300269","0","0"
"164","6","6","250","100","51.095732410611305","0","0"
"157","6","6","200","1130","80.93041138023837","0","0"
"150","6","4","250","1500","45.9438677431757","11","0"
"165","6","6","250","417","74.77893118031527","0","0"
"151","6","6","150","1500","66.28219915417148","37","0"
"154","6","6","175","1500","38.48519800076893","43","0"
"152","6","6","150","1500","28.95040369088812","38","0"
"155","6","6","175","1500","39.48481353325644","65","0"
"156","6","6","175","1429","84.77508650519032","0","0"
"168","6","8","150","347","48.13533256439831","0","0"
"153","6","6","150","1500","32.10303729334871","54","0"
"147","6","4","225","1500","67.24336793540945","15","0"
"173","6","8","200","97","48.05843906189927","0","0"
"172","6","8","200","121","56.86274509803921","0","0"
"158","6","6","200","1500","37.56247597078047","33","0"
"175","6","8","225","130","56.362937331795465","0","0"
"176","6","8","225","180","61.66858900422914","0","0"
"169","6","8","175","459","59.438677431757014","0","0"
"170","6","8","175","553","94.15609381007305","0","0"
"178","6","8","250","490","28.796616685890044","0","0"
"182","6","10","150","346","23.337178008458284","0","0"
"166","6","8","150","1197","30.065359477124183","0","0"
"171","6","8","175","754","58.51595540176855","0","0"
"180","6","8","250","506","28.143021914648212","0","0"
"185","6","10","175","92","49.63475586312956","0","0"
"177","6","8","225","479","20.29988465974625","0","0"
"186","6","10","175","117","50.59592464436755","0","0"
"187","6","10","200","127","52.748942714340636","0","0"
"184","6","10","175","417","31.757016532103037","0","0"
"192","6","10","225","90","43.59861591695502","0","0"
"191","6","10","225","106","52.479815455594","0","0"
"188","6","10","200","243","86.9281045751634","0","0"
"193","6","10","250","114","44.982698961937714","0","0"
"195","6","10","250","102","44.44444444444444","0","0"
"198","6","12","150","111","61.322568242983465","0","0"
"167","6","8","150","1500","69.62706651287967","44","0"
"199","6","12","175","121","57.20876585928489","0","0"
"194","6","10","250","409","16.57054978854287","0","0"
"202","6","12","200","112","49.09650134563629","0","0"
"203","6","12","200","85","49.40407535563245","0","0"
"200","6","12","175","375","17.685505574778933","0","0"
"205","6","12","225","85","43.483275663206456","0","0"
"190","6","10","225","746","16.032295271049595","0","0"
"179","6","8","250","1314","25.06728181468666","0","0"
"174","6","8","200","1500","37.79315647827759","47","0"
"197","6","12","150","665","35.140330642060746","0","0"
"206","6","12","225","115","49.288735101883894","0","0"
"181","6","10","150","1500","35.10188389081122","33","0"
"209","6","12","250","81","41.71472510572857","0","0"
"210","6","12","250","107","42.599000384467516","0","0"
"208","6","12","250","174","53.97923875432526","0","0"
"212","6","14","150","93","50.63437139561707","0","0"
"183","6","10","150","1500","48.827374086889655","61","0"
"189","6","10","200","1171","24.605920799692427","0","0"
"218","6","14","200","107","50.82660515186467","0","0"
"219","6","14","200","138","47.174163783160324","0","0"
"216","6","14","175","331","26.29757785467128","0","0"
"215","6","14","175","391","17.454825067281813","0","0"
"211","6","14","150","564","21.414840445982314","0","0"
"217","6","14","200","429","23.337178008458284","0","0"
"222","6","14","225","97","49.40407535563245","0","0"
"221","6","14","225","123","49.596309111880046","0","0"
"213","6","14","150","562","16.109188773548635","0","0"
"214","6","14","175","590","12.687427912341407","0","0"
"223","6","14","250","168","54.59438677431757","0","0"
"226","6","16","150","81","48.904267589388695","0","0"
"225","6","14","250","107","41.21491733948481","0","0"
"224","6","14","250","273","75.4325259515571","0","0"
"232","6","16","200","101","46.71280276816609","0","0"
"233","6","16","200","92","45.290272971933874","0","0"
"234","6","16","200","120","50.36524413687044","0","0"
"231","6","16","175","297","12.264513648596694","0","0"
"201","6","12","175","1500","20.492118415993847","18","0"
"235","6","16","225","104","45.40561322568243","0","0"
"236","6","16","225","85","43.52172241445598","0","0"
"220","6","14","225","732","11.918492887351018","0","0"
"238","6","16","250","93","44.905805459438675","0","0"
"239","6","16","250","124","45.751633986928105","0","0"
"237","6","16","225","204","58.90042291426374","0","0"
"227","6","16","150","617","16.647443291041906","0","0"
"204","6","12","200","1500","60.053825451749326","23","0"
"228","6","16","150","542","41.1764705882353","0","0"
"242","6","18","150","123","59.28489042675894","0","0"
"240","6","16","250","177","53.28719723183391","0","0"
"230","6","16","175","580","13.14878892733564","0","0"
"244","6","18","175","98","49.134948096885815","0","0"
"248","6","18","200","110","50.941945405613225","0","0"
"249","6","18","200","113","46.44367550941946","0","0"
"207","6","12","225","1500","42.25297962322184","23","0"
"241","6","18","150","332","26.066897347174162","0","0"
"196","6","12","150","1500","26.720492118415994","38","0"
"243","6","18","150","291","7.7662437524029215","0","0"
"252","6","18","225","109","44.32910419069589","0","0"
"254","6","18","250","163","51.787773933102656","0","0"
"255","6","18","250","104","45.98231449442522","0","0"
"253","6","18","250","185","59.55401768550558","0","0"
"229","6","16","175","960","12.802768166089965","0","0"
"247","6","18","200","459","15.686274509803921","0","0"
"260","6","20","175","114","46.48212226066897","0","0"
